position,well_id,well_type,x,y,elevation,dist_along,dist_to_line,side
1,268,Lithological,483891.0,2134455.0,2251.0,0.0,362.9076357356274,1
2,2902,SEV/RGP (Resistivity),485750.0,2134450.0,2235.8,196.02252958802165,1485.6489880868353,-1
3,176,Lithological,484329.0,2135161.0,2253.0,748.5549543434743,4.139560531343968,1
4,265,Lithological,483366.0,2135439.0,2267.0,920.3675173666209,991.6280127106176,1
5,2215,SEV/RGP (Resistivity),485200.0,2135600.0,2240.7,1279.517131636127,814.0542834229148,-1
6,248,Lithological,485234.0,2135806.0,2239.0,1487.9907040408518,825.4897374502771,-1
7,10,RGP (Water Table),483338.0,2136023.0,2264.79,1497.8762319850339,1082.8622417027473,1
8,130,Lithological,484767.0,2135929.0,2243.43,1559.5656859648618,347.89679156164937,-1
9,PER1,Lithological,485468.0,2136236.0,2233.0,1940.8526167222517,1011.4254468837909,-1
10,XOT7A,Lithological,486372.0,2136266.0,2224.0,2068.8145953240414,1906.8257663120985,-1
11,2214,SEV/RGP (Resistivity),485450.0,2136450.0,2231.1,2151.633727169461,970.2997435020695,-1
12,XOT6A,Lithological,486256.0,2136389.0,2224.0,2178.494543163254,1778.158330486294,-1
13,XOT6B,Lithological,486344.0,2136635.0,2224.0,2432.594008906822,1838.9321859574864,-1
14,XOT5B,Lithological,486256.0,2136726.0,2224.0,2513.5027964144547,1741.5732207614412,-1
15,XOT5C,Lithological,486490.0,2136727.0,2223.0,2539.900196796849,1974.081666313536,-1
16,XOT3A,Lithological,485731.0,2136943.0,2224.0,2672.2256698564806,1196.11831937517,-1
17,XOT4C,Lithological,486344.0,2136881.0,2223.0,2677.140092882476,1812.226141469908,-1
18,XOT4B,Lithological,486052.0,2136942.0,2224.0,2706.079711305818,1515.3296974266839,-1
19,270,Lithological,485206.0,2137035.0,2230.0,2706.687321766162,664.233562545595,-1
20,XOT3B,Lithological,485906.0,2137004.0,2224.0,2751.8633483436392,1363.4617989767844,-1
21,XOT3C,Lithological,486256.0,2137004.0,2223.0,2789.8597531023884,1711.3932192673487,-1
22,XOT2A,Lithological,485498.0,2137189.0,2225.0,2891.4770043784524,937.7893579513018,-1
23,XOT1A,Lithological,485381.0,2137342.0,2226.0,3030.8710842289743,804.8709976596314,-1
24,254,Lithological,485498.0,2137342.0,2225.0,3043.572739534042,921.1795010139057,-1
25,XOT2B,Lithological,485702.0,2137373.0,2224.0,3096.5359983905914,1120.6084187046313,-1
26,XOT2C,Lithological,486052.0,2137373.0,2223.0,3134.532403149341,1468.5398389951956,-1
27,74,Lithological,483747.0,2137651.0,2245.0,3160.655894211797,853.0170875553277,1
28,XOT1B,Lithological,485469.0,2137527.0,2224.0,3224.3310738647583,872.2670836744913,-1
29,XOT1C,Lithological,485907.0,2137496.0,2223.0,3241.0640774514004,1311.043799773887,-1
30,2901,SEV/RGP (Resistivity),484850.0,2137850.0,2232.0,3478.2227144595763,221.86026111181906,-1
31,272,Lithological,483719.0,2138020.0,2242.0,3524.4353077945775,920.91066790994,1
32,2213,SEV/RGP (Resistivity),486200.0,2137750.0,2222.3,3525.37129844602,1574.7375693064957,-1
33,48,Lithological,486169.0,2137895.0,2222.0,3666.148919573479,1528.1794186807065,-1
34,47,Lithological,485236.0,2138234.0,2226.0,3901.8577933980164,563.8914291255278,-1
35,259,Lithological,483456.0,2138481.0,2238.0,3954.1591086585754,1232.402971139088,1
36,2212,SEV/RGP (Resistivity),485600.0,2139000.0,2222.6,4702.846819897322,842.5822603842806,-1
37,3405,SEV/RGP (Resistivity),486600.0,2139150.0,2219.8,4960.521442189705,1820.3878591750004,-1
38,3403,SEV/RGP (Resistivity),483750.0,2139550.0,2229.8,5048.758055200535,1056.19245434388,1
39,3404,SEV/RGP (Resistivity),484400.0,2139500.0,2224.8,5069.618318282417,404.6060445530105,1
40,194,Lithological,485091.0,2139709.0,2223.0,5352.398839793912,259.62070637899325,-1
41,40,RGP (Water Table),483137.0,2140049.0,2236.0,5478.260862651614,1719.7415018088282,1
42,52R,Lithological,486375.0,2139923.0,2220.0,5704.52657594367,1512.799886478171,-1
43,2211,SEV/RGP (Resistivity),485800.0,2140400.0,2220.8,6116.284732350293,889.4145958010344,-1
44,192,Lithological,485092.0,2140662.0,2222.0,6299.87495391296,157.15601405100034,-1
45,119,Lithological,484567.0,2140908.0,2235.53,6487.42643075049,391.4471608724243,1
46,163,Lithological,486551.0,2140722.0,2219.0,6517.911067514244,1601.01932238931,-1
47,15,Lithological,485210.0,2141523.0,2221.0,6533.294697205327,660.5791344342858,-1
